date,prev_date,window,portfolio_value,realized_pnl_total,VaR_0.990_total,exception_total,realized_pnl_bonds,VaR_0.990_bonds,exception_bonds,realized_pnl_equities,VaR_0.990_equities,exception_equities,realized_pnl_fx,VaR_0.990_fx,exception_fx
2025-03-07,2025-03-06,500,246756208.21564668,838961.9587900682,5623015.983008383,False,149815.65786132024,469504.2148164328,False,-5089.852522578845,284803.9777881057,False,694236.1534513268,5718361.5327710295,False
2025-03-10,2025-03-07,500,246869317.66765627,180602.70153493108,5622914.190196738,False,234304.93710036104,471604.60004553234,False,-53702.23556542996,284803.9777881057,False,0.0,5718361.5327710295,False
2025-03-11,2025-03-10,500,247213005.51353973,-2765322.2638225555,5622594.219213631,False,-260076.46687067562,478409.78474592866,False,11749.361314656122,284803.9777881057,False,-2516995.158266536,5718361.5327710295,False
2025-03-12,2025-03-11,500,246954239.41283876,-3826916.962079112,5622917.212183912,False,149570.51258319893,472701.8479868045,False,-51645.206262875385,284803.9777881057,False,-3924842.2683994356,5718361.5327710295,False
2025-03-13,2025-03-12,500,247134291.2817818,262732.3610072796,5622808.529961657,False,-91518.98615470828,478010.0345554902,False,-35425.01880952872,284803.9777881057,False,389676.3659715166,5718361.53277103,False
2025-03-14,2025-03-13,500,247015625.05760807,688051.6436793653,5622930.876129561,False,298024.90844326484,474317.83274904476,False,88464.34246015227,284803.9777881057,False,301562.3927759481,5718361.5327710295,False
2025-03-17,2025-03-14,500,247318288.88995695,397292.7457502815,5622594.762606616,False,249968.64617849496,479748.9865347939,False,147324.09957178653,284803.9777881057,False,0.0,5718361.5327710295,False
2025-03-18,2025-03-17,500,247606746.31361037,-6131129.877056239,5622387.0377274295,True,274436.38954413246,485857.465772289,False,-115627.82276803972,284803.9777881058,False,-6289938.443832332,5718361.5327710295,True
2025-03-19,2025-03-18,500,247819368.8474457,-6994445.898572416,5756522.47310736,True,-88894.99974996397,489302.55257716455,False,25179.852186647986,284803.9777881057,False,-6930730.7510091,5747389.967597615,True
2025-03-20,2025-03-19,500,247765300.491018,5318338.6989688855,6074842.213956249,False,-34447.9563845573,488857.41817531415,False,-17995.942625189775,284803.9777881057,False,5370782.597978633,6290550.388362263,False
